scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B3_validation,configmean_extra_trees,interaction_proxy_null,0.8,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,6,0.06,0.027786123963188192,0.1247681544589592
image,B3_validation,configmean_extra_trees,nonlinear_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,2,0.02,0.00550196755016235,0.07001179072854388
image,B3_validation,configmean_extra_trees,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,configmean_interactions_d4_r10,additive_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
image,B3_validation,configmean_interactions_d4_r10,additive_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,2,0.02,0.00550196755016235,0.07001179072854388
image,B3_validation,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
image,B3_validation,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
image,B3_validation,configmean_interactions_d4_r10,independent_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
image,B3_validation,configmean_interactions_d4_r10,independent_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B3_validation,configmean_interactions_d4_r10,interaction_increment,0.3,0.2,100,100,1.0,32,0.32,0.23669147324999093,0.41662618610452384,32,0.32,0.23669147324999093,0.41662618610452384
image,B3_validation,configmean_interactions_d4_r10,interaction_increment,0.3,0.35,100,100,1.0,37,0.37,0.28182360534324524,0.4677947041905709,37,0.37,0.28182360534324524,0.4677947041905709
