geometry,n_configurations,baseline,scenario,icc,beta,method,planned_repetitions,estimated_repetitions,estimability_rate,positive_support_count_a05,positive_support_rate_a05,positive_support_wilson_low_a05,positive_support_wilson_high_a05,positive_support_count_a001,positive_support_rate_a001,positive_support_wilson_low_a001,positive_support_wilson_high_a001
image_like,24,B2_training_state,shared_signal,0.8,0.25,observable_oracle,500,500,1.0,121,0.242,0.20651780855112864,0.28141635112703234,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B2_training_state,shared_signal,0.8,0.25,learned_raw_d2,500,500,1.0,153,0.306,0.26721346373113636,0.3477447803679459,12,0.024,0.013781314655496986,0.041477057463900756
image_like,24,B2_training_state,shared_signal,0.8,0.25,learned_rank_d2,500,500,1.0,141,0.282,0.2443364332272433,0.32298777921399346,14,0.028,0.01675097472075645,0.04644640267494888
image_like,24,B2_training_state,shared_signal,0.8,0.5,latent_ceiling,500,500,1.0,375,0.75,0.7102363265170449,0.785951503252179,24,0.048,0.03246520694135317,0.07042719683589006
image_like,24,B2_training_state,shared_signal,0.8,0.5,observable_oracle,500,500,1.0,343,0.686,0.6440316011844003,0.7251321441639025,19,0.038,0.024460118055830385,0.05858477253064388
image_like,24,B2_training_state,shared_signal,0.8,0.5,learned_raw_d2,500,500,1.0,302,0.604,0.5604958406867544,0.6459182964972427,49,0.098,0.07492391886460623,0.12720605086648182
image_like,24,B2_training_state,shared_signal,0.8,0.5,learned_rank_d2,500,500,1.0,276,0.552,0.508179738010616,0.5950273305813826,44,0.088,0.06620598447492893,0.11607647206539012
image_like,24,B3_validation,additive_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,15,0.03,0.018263213197913384,0.04890366683594573,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,additive_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,13,0.026,0.015256383923327248,0.04397149083422428,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,additive_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,73,0.146,0.11774876682646929,0.1796492662203097,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,additive_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,63,0.126,0.09973528894537706,0.15796771771986404,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,additive_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,5,0.01,0.004278753896590496,0.023193099755730702,0,0.0,4.336808689942018e-19,0.007624340461552241
