scenario,expected_increment,nuisance_model,refit_draws,repetitions,estimable,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high,median_ci_low
genuine_increment,True,polynomial_ridge_interactions,199,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.031485790945564654
genuine_increment,True,polynomial_ridge_interactions,499,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.0310507760322292
genuine_increment,True,polynomial_ridge_interactions,999,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.031079460448733432
heteroskedastic_null,False,polynomial_ridge,99,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0011703792872261583
heteroskedastic_null,False,polynomial_ridge,199,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0011995375360457391
heteroskedastic_null,False,polynomial_ridge,499,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0012036393843409287
heteroskedastic_null,False,polynomial_ridge,999,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0012070896626465886
heteroskedastic_null,False,polynomial_ridge_interactions,99,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0005143323808957414
heteroskedastic_null,False,polynomial_ridge_interactions,199,100,100,0.01,0.0017673865655472645,0.0544875247609346,0.0,0.0,0.03699480747600191,-0.0005271557455021048
heteroskedastic_null,False,polynomial_ridge_interactions,499,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0005529712949525433
heteroskedastic_null,False,polynomial_ridge_interactions,999,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0005697919730961317
nonlinear_proxy,False,polynomial_ridge,99,100,100,0.03,0.010254338223414816,0.08452078080402699,0.01,0.0017673865655472645,0.0544875247609346,-0.0005893544488604976
nonlinear_proxy,False,polynomial_ridge,199,100,100,0.02,0.005501852234968185,0.07001316294199365,0.01,0.0017673865655472645,0.0544875247609346,-0.0006011529641427513
nonlinear_proxy,False,polynomial_ridge,499,100,100,0.02,0.005501852234968185,0.07001316294199365,0.01,0.0017673865655472645,0.0544875247609346,-0.0006368620946757666
nonlinear_proxy,False,polynomial_ridge,999,100,100,0.02,0.005501852234968185,0.07001316294199365,0.01,0.0017673865655472645,0.0544875247609346,-0.0006473010095330444
nonlinear_proxy,False,polynomial_ridge_interactions,99,100,100,0.03,0.010254338223414816,0.08452078080402699,0.01,0.0017673865655472645,0.0544875247609346,-0.0003693000582435589
nonlinear_proxy,False,polynomial_ridge_interactions,199,100,100,0.04,0.015663050551848016,0.09837217232607373,0.02,0.005501852234968185,0.07001316294199365,-0.00038259633599376256
nonlinear_proxy,False,polynomial_ridge_interactions,499,100,100,0.03,0.010254338223414816,0.08452078080402699,0.02,0.005501852234968185,0.07001316294199365,-0.00040101955987322923
nonlinear_proxy,False,polynomial_ridge_interactions,999,100,100,0.03,0.010254338223414816,0.08452078080402699,0.02,0.005501852234968185,0.07001316294199365,-0.00040214655477986065
null_metric,False,polynomial_ridge,99,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.002457933993304125
null_metric,False,polynomial_ridge,199,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0025343810855933758
null_metric,False,polynomial_ridge,499,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.002494907935884198
null_metric,False,polynomial_ridge,999,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0025094297309093206
null_metric,False,polynomial_ridge_interactions,99,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0010269486348744377
null_metric,False,polynomial_ridge_interactions,199,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0010836823891009098
null_metric,False,polynomial_ridge_interactions,499,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0010980482660614905
null_metric,False,polynomial_ridge_interactions,999,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.0011053398186673955
