repetition,scenario,expected_increment,nuisance_model,refit_draws,simulation_seed,analysis_seed,status,delta_mse,refit_delta_mse_ci_low,refit_delta_mse_ci_high,residual_p,predictive_supported,joint_supported
1,null_metric,False,polynomial_ridge,999,20360734,21260734,estimated,-0.0013249340261309375,-0.00249335733963337,0.00301259399287613,0.42,False,False
1,null_metric,False,polynomial_ridge_interactions,99,20360734,21261743,estimated,-0.00022067414511130548,-0.001084727803985625,0.0008453513437732285,0.44,False,False
1,null_metric,False,polynomial_ridge_interactions,199,20360734,21261743,estimated,-0.00022067414511130548,-0.0012695843009531227,0.0008808118743527674,0.44,False,False
1,null_metric,False,polynomial_ridge_interactions,499,20360734,21261743,estimated,-0.00022067414511130548,-0.0014020041369603015,0.0009105026983563783,0.44,False,False
1,null_metric,False,polynomial_ridge_interactions,999,20360734,21261743,estimated,-0.00022067414511130548,-0.0013141185528397577,0.0009206972830687945,0.44,False,False
2,clustered_null,False,polynomial_ridge,99,20460737,22290758,estimated,-0.0037122326317916496,-0.016961693623922258,0.009919383333620557,0.345,False,False
2,clustered_null,False,polynomial_ridge,199,20460737,22290758,estimated,-0.0037122326317916496,-0.01576291963663692,0.009695338264976441,0.345,False,False
2,clustered_null,False,polynomial_ridge,499,20460737,22290758,estimated,-0.0037122326317916496,-0.015710110389518243,0.009837948604659653,0.345,False,False
2,clustered_null,False,polynomial_ridge,999,20460737,22290758,estimated,-0.0037122326317916496,-0.014891629826856668,0.011373195435086986,0.345,False,False
2,clustered_null,False,polynomial_ridge_interactions,99,20460737,22291767,estimated,-0.001378572995768955,-0.017988901148614105,0.00468123714365296,0.265,False,False
2,clustered_null,False,polynomial_ridge_interactions,199,20460737,22291767,estimated,-0.001378572995768955,-0.014291458002670851,0.005603507348112979,0.265,False,False
2,clustered_null,False,polynomial_ridge_interactions,499,20460737,22291767,estimated,-0.001378572995768955,-0.014091191697383333,0.006784660953454539,0.265,False,False
2,clustered_null,False,polynomial_ridge_interactions,999,20460737,22291767,estimated,-0.001378572995768955,-0.012409057042271611,0.007533179157682749,0.265,False,False
