scope,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,single_005_support_count,single_005_support_rate,single_005_support_wilson_95_low,single_005_support_wilson_95_high,single_005_positive_support_count,single_005_positive_support_rate,single_005_positive_support_wilson_95_low,single_005_positive_support_wilson_95_high,unanimous_050_support_count,unanimous_050_support_rate,unanimous_050_support_wilson_95_low,unanimous_050_support_wilson_95_high,unanimous_050_positive_support_count,unanimous_050_positive_support_rate,unanimous_050_positive_support_wilson_95_low,unanimous_050_positive_support_wilson_95_high,unanimous_025_support_count,unanimous_025_support_rate,unanimous_025_support_wilson_95_low,unanimous_025_support_wilson_95_high,unanimous_025_positive_support_count,unanimous_025_positive_support_rate,unanimous_025_positive_support_wilson_95_low,unanimous_025_positive_support_wilson_95_high,unanimous_010_support_count,unanimous_010_support_rate,unanimous_010_support_wilson_95_low,unanimous_010_support_wilson_95_high,unanimous_010_positive_support_count,unanimous_010_positive_support_rate,unanimous_010_positive_support_wilson_95_low,unanimous_010_positive_support_wilson_95_high,two_of_three_010_support_count,two_of_three_010_support_rate,two_of_three_010_support_wilson_95_low,two_of_three_010_support_wilson_95_high,two_of_three_010_positive_support_count,two_of_three_010_positive_support_rate,two_of_three_010_positive_support_wilson_95_low,two_of_three_010_positive_support_wilson_95_high
image,B1_design,interaction_increment,0.8,0.35,20,20,1.0,9,0.45,0.2581978582556243,0.6579146575496577,9,0.45,0.2581978582556243,0.6579146575496577,15,0.75,0.531299122381256,0.8881382985923343,15,0.75,0.531299122381256,0.8881382985923343,13,0.65,0.43285427668523624,0.818808175898918,13,0.65,0.43285427668523624,0.818808175898918,11,0.55,0.34208534245034233,0.7418021417443759,11,0.55,0.34208534245034233,0.7418021417443759,11,0.55,0.34208534245034233,0.7418021417443759,11,0.55,0.34208534245034233,0.7418021417443759
image,B1_design,interaction_increment,0.8,0.5,20,20,1.0,14,0.7,0.4810271816464765,0.8545227551323956,14,0.7,0.4810271816464765,0.8545227551323956,19,0.95,0.763868806553258,0.9911185511992047,19,0.95,0.763868806553258,0.9911185511992047,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,15,0.75,0.531299122381256,0.8881382985923343,15,0.75,0.531299122381256,0.8881382985923343,18,0.9,0.6989663547715128,0.9721335187862319,18,0.9,0.6989663547715128,0.9721335187862319
image,B1_design,interaction_proxy_null,0.3,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,4,0.2,0.08065766257979806,0.41601743225189364,4,0.2,0.08065766257979806,0.41601743225189364,4,0.2,0.08065766257979806,0.41601743225189364,4,0.2,0.08065766257979806,0.41601743225189364,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,4,0.2,0.08065766257979806,0.41601743225189364,4,0.2,0.08065766257979806,0.41601743225189364
image,B1_design,interaction_proxy_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,3,0.15,0.052368745896216595,0.36041886474075696,3,0.15,0.052368745896216595,0.36041886474075696,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873
image,B1_design,nonlinear_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938
image,B1_design,nonlinear_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205
image,B2_training_state,additive_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938
image,B2_training_state,additive_proxy_null,0.8,0.0,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205
image,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938
image,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,4,0.2,0.08065766257979806,0.41601743225189364,4,0.2,0.08065766257979806,0.41601743225189364,3,0.15,0.052368745896216595,0.36041886474075696,3,0.15,0.052368745896216595,0.36041886474075696,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873
