protocol_id,scope,baseline,scenario,icc,beta,repetition,wild_draws,simulation_seed,status,split_0_p,split_0_score,split_1_p,split_1_score,split_2_p,split_2_score,single_005_supported,single_005_positive_supported,unanimous_050_supported,unanimous_050_positive_supported,unanimous_025_supported,unanimous_025_positive_supported,unanimous_010_supported,unanimous_010_positive_supported,two_of_three_010_supported,two_of_three_010_positive_supported
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,12,499,10914789114366760081,estimated,0.042,0.015557553457449205,0.11,0.0092420504285221,0.074,0.011860173054589076,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,13,499,14671089362331937950,estimated,0.026,0.021067349829479633,0.03,0.016123502648895376,0.078,0.015144653076513146,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,14,499,3311762789683746265,estimated,0.148,0.0087234961836278,0.086,0.01089714298706358,0.386,0.00508647831664881,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,15,499,16615997713700973628,estimated,0.19,0.011759138772203895,0.278,0.01013684530105245,0.128,0.012241926974082704,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,16,499,10770617601236997292,estimated,0.312,0.008937194578795516,0.326,0.008855803311014045,0.328,0.010732478912820552,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,17,499,15645355934276074160,estimated,0.164,0.010078843631411474,0.134,0.011103776255669976,0.17,0.010543220059809117,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,18,499,3723331623285406996,estimated,0.184,0.01034625679354458,0.022,0.02165433047369973,0.148,0.009832397507450847,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,19,499,2460168089844983442,estimated,0.792,0.0022239408474322383,0.796,0.002708551693517903,0.41,0.007931956858858667,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,0,499,10059182238486435916,estimated,0.21,0.014932983041119252,0.448,0.008558616522901479,0.086,0.019299517412610438,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,1,499,6106582553060836776,estimated,0.038,0.02096913861238731,0.112,0.015228459846055434,0.156,0.01266173919589055,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,2,499,9731564534689836001,estimated,0.012,0.020381630714785343,0.076,0.016474498476035368,0.016,0.022036824856836418,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,3,499,2071779690459525576,estimated,0.77,-0.0018265333279070643,0.908,-0.0010114433437297735,0.83,-0.0018726319933182179,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,4,499,13833141870640249493,estimated,0.034,0.02431668153308789,0.03,0.024505520111841924,0.04,0.020674245292099838,False,False,True,True,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,5,499,14670720156884390139,estimated,0.662,0.0035826071385566195,0.442,0.008781080044730523,0.994,-0.00018873177834586937,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,6,499,16707046106448032707,estimated,0.94,0.0005813768460029544,0.61,-0.005351192739418587,0.858,-0.0020989724487335197,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,7,499,9538333272507063503,estimated,0.088,0.015817872318316176,0.056,0.016312815816838775,0.056,0.017572706973121396,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,8,499,3262558606879617920,estimated,0.002,0.034143691638337324,0.002,0.032715687590398064,0.002,0.037315530910700924,True,True,True,True,True,True,True,True,True,True
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,9,499,6899778404820045116,estimated,0.122,0.014862012677896845,0.148,0.013710785306158655,0.054,0.017983930096919273,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,10,499,587755823139901443,estimated,0.084,0.018303749502093535,0.068,0.01911640800379032,0.29,0.008538258991186076,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,11,499,1474058311300394751,estimated,0.052,0.0244380695275474,0.118,0.0255861621484198,0.292,0.015575441104071707,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,12,499,16870368351183447470,estimated,0.012,0.024065071847629127,0.118,0.015087669116741748,0.014,0.024060732653828385,False,False,False,False,False,False,False,False,False,False
