repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
1,30274791,axis_specialist_proxy,False,False,27,0.8064713064713065,0.6011396011396013,-0.012107236215939442,0.3580246913580247,-0.037037037037037056,0.018617803521642978,hp_a,0.03724053724053724,0.857,-0.0010512843939297564,-0.002125476472542929,no-supported-increment,0.21794871794871792,0.281,-0.0004652659032125285,-0.0009741953519345847,no-supported-increment
1,30275800,sign_flip_increment,False,True,27,-0.41819291819291815,-0.3048433048433049,-0.4829276631151494,-0.1851851851851852,-0.5555555555555556,0.06811330008538881,none,-0.489010989010989,0.015,0.0015396816154131243,-0.022131961281491905,residual-dependence-only,-0.49145299145299143,0.006,0.04741033824611454,0.017516979645052673,increment-supported
2,30280762,independent_null,False,False,27,0.18376068376068375,0.07122507122507124,-0.15932578416221102,0.01234567901234567,-0.18518518518518523,0.003662504068833785,none,-0.05616605616605617,0.791,-0.0007779956754129166,-0.0017058737001241135,no-supported-increment,0.06715506715506715,0.755,-0.0008231616209671815,-0.001390582538189943,no-supported-increment
2,30281771,design_proxy,False,False,27,0.9822954822954822,0.9088319088319089,0.6794779863265665,0.8271604938271605,0.7037037037037037,0.4896949464578384,"hp_a,hp_c",0.8431013431013431,0.001,0.004617902997864862,0.0005665744906594177,increment-supported,0.6733821733821733,0.001,0.0016107702234673758,-0.00015976047281352523,residual-dependence-only
2,30282780,interaction_proxy,False,False,27,0.7796092796092796,0.5897435897435899,0.40634745344832257,0.3580246913580247,-0.1111111111111111,0.21129044326890092,"hp_a,hp_c",0.7478632478632479,0.001,0.0051070045839754375,0.00246797987609061,increment-supported,0.43589743589743585,0.031,-3.717283320350123e-05,-0.0009585537087062735,residual-dependence-only
2,30283789,genuine_increment,True,True,27,0.5128205128205128,0.36752136752136755,0.8334643083696217,0.43209876543209874,-0.2592592592592593,0.09975512758975899,none,0.92002442002442,0.001,0.06026619234324371,0.03119320279217407,increment-supported,0.9633699633699633,0.001,0.07550439625225538,0.04497174147059359,increment-supported
2,30284798,axis_specialist_proxy,False,False,27,0.8394383394383393,0.6695156695156697,0.02833689229575978,0.43209876543209885,-0.03703703703703704,0.03859006492751139,hp_a,0.3528693528693529,0.07,-0.0007585516609896065,-0.0021159038449322302,no-supported-increment,0.608058608058608,0.001,-0.0003494006149930857,-0.0010381790857095377,residual-dependence-only
2,30285807,sign_flip_increment,False,True,27,-0.25946275946275943,-0.207977207977208,-0.02013497841129195,-0.08641975308641973,-0.18518518518518517,0.02379837560945595,hp_a,0.009157509157509158,0.968,-0.031836579592599126,-0.07741618199891048,no-supported-increment,-0.01282051282051282,0.955,0.01983636995751089,0.0005656440010004475,predictive-improvement-only
3,30290769,independent_null,False,False,27,-0.20024420024420023,-0.1623931623931624,-0.06711463340709176,-0.1358024691358025,-0.25925925925925924,0.014681158681157417,hp_a,-0.003052503052503052,0.989,-0.0008297807928936887,-0.0024610866383519866,no-supported-increment,0.015262515262515262,0.936,-8.330066837678417e-05,-0.0015861760427096309,no-supported-increment
3,30291778,design_proxy,False,False,27,0.9774114774114774,0.891737891737892,0.6532440236460185,0.7283950617283951,0.48148148148148157,0.39580904301196085,"hp_a,hp_c",0.9053724053724053,0.001,0.002648089961340333,0.0002771858394109259,increment-supported,0.6941391941391941,0.001,-0.0009190226574426353,-0.002524679907602708,residual-dependence-only
