shard,sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
inference_shard_00,100,7,null_metric,False,polynomial_ridge,0.435,-0.0033840352462575,-0.0059639615270422,False,False
inference_shard_00,100,7,null_metric,False,polynomial_ridge_interactions,0.665,-0.0011642550015203,-0.0018375647599317,False,False
inference_shard_00,100,7,nonlinear_proxy,False,polynomial_ridge,0.9,-0.0011898153022336,-0.0009127672617913,False,False
inference_shard_00,100,7,nonlinear_proxy,False,polynomial_ridge_interactions,0.64,1.412350224420933e-05,-0.0005694989411787,False,False
inference_shard_00,100,7,heteroskedastic_null,False,polynomial_ridge,0.76,-0.0012809125226526,-0.0023620165249764,False,False
inference_shard_00,100,7,heteroskedastic_null,False,polynomial_ridge_interactions,0.8,-0.0009122614252493,-0.0012391365408615,False,False
inference_shard_00,100,7,clustered_null,False,polynomial_ridge,0.7,-0.0112980970034535,-0.1247523230791173,False,False
inference_shard_00,100,7,clustered_null,False,polynomial_ridge_interactions,0.635,-0.0054139281906594,-0.100505046845203,False,False
inference_shard_00,100,7,genuine_increment,True,polynomial_ridge,0.005,0.0590978020718777,0.0355543416041013,True,True
inference_shard_00,100,7,genuine_increment,True,polynomial_ridge_interactions,0.005,0.056011246087368,0.0380434262864951,True,True
inference_shard_00,100,8,null_metric,False,polynomial_ridge,0.56,-0.0003183052099027,-0.002297301440447,False,False
inference_shard_00,100,8,null_metric,False,polynomial_ridge_interactions,0.25,0.0005112322566563,-0.0022767918876717,False,False
inference_shard_00,100,8,nonlinear_proxy,False,polynomial_ridge,0.935,-0.0001456283584405,-0.0015959663955371,False,False
inference_shard_00,100,8,nonlinear_proxy,False,polynomial_ridge_interactions,0.81,-0.0001611673741931,-0.0008361544078575,False,False
inference_shard_00,100,8,heteroskedastic_null,False,polynomial_ridge,0.015,-0.0001186265287818,-0.0020160183165037,False,False
inference_shard_00,100,8,heteroskedastic_null,False,polynomial_ridge_interactions,0.015,0.0003924532635675,-0.0009308109397824,False,False
inference_shard_00,100,8,clustered_null,False,polynomial_ridge,0.4,-0.0166031194810437,-0.0700483734033928,False,False
inference_shard_00,100,8,clustered_null,False,polynomial_ridge_interactions,0.09,0.0058701363762977,-0.0565914990825331,False,False
inference_shard_00,100,8,genuine_increment,True,polynomial_ridge,0.005,0.0437117732233793,0.0313578541138739,True,True
inference_shard_00,100,8,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0424998822509573,0.0289851406882088,True,True
inference_shard_00,100,9,null_metric,False,polynomial_ridge,0.225,-0.00029779220097,-0.0036304058785112,False,False
inference_shard_00,100,9,null_metric,False,polynomial_ridge_interactions,0.21,-0.0011725479169799,-0.0029388369155843,False,False
inference_shard_00,100,9,nonlinear_proxy,False,polynomial_ridge,0.825,0.0001447006149934,-0.0010539402341073,False,False
inference_shard_00,100,9,nonlinear_proxy,False,polynomial_ridge_interactions,0.76,-0.0003763082297982,-0.0006677460572834,False,False
inference_shard_00,100,9,heteroskedastic_null,False,polynomial_ridge,0.48,-0.0008855372045409,-0.001950859591226,False,False
inference_shard_00,100,9,heteroskedastic_null,False,polynomial_ridge_interactions,0.675,-0.0002780525544335,-0.0016239281399077,False,False
inference_shard_00,100,9,clustered_null,False,polynomial_ridge,0.445,-0.0021638627797838,-0.0453439887787823,False,False
inference_shard_00,100,9,clustered_null,False,polynomial_ridge_interactions,0.215,-0.0028486148869828,-0.0255866049898505,False,False
inference_shard_00,100,9,genuine_increment,True,polynomial_ridge,0.005,0.0369122840252092,0.0218794324894444,True,True
inference_shard_00,100,9,genuine_increment,True,polynomial_ridge_interactions,0.005,0.038802743729252,0.0259165327731917,True,True
inference_shard_00,100,10,null_metric,False,polynomial_ridge,0.715,-0.0029965215674352,-0.0048230430148947,False,False
inference_shard_00,100,10,null_metric,False,polynomial_ridge_interactions,0.44,-5.472107002115617e-05,-0.0010417113639261,False,False
inference_shard_00,100,10,nonlinear_proxy,False,polynomial_ridge,0.64,-0.0002855613969229,-0.0009869580700175,False,False
inference_shard_00,100,10,nonlinear_proxy,False,polynomial_ridge_interactions,0.725,-5.37159924848072e-05,-0.0008363598676062,False,False
inference_shard_00,100,10,heteroskedastic_null,False,polynomial_ridge,0.095,0.0004015189511307,-0.0019860895248537,False,False
inference_shard_00,100,10,heteroskedastic_null,False,polynomial_ridge_interactions,0.145,-0.0002142447980786,-0.0012012707905813,False,False
inference_shard_00,100,10,clustered_null,False,polynomial_ridge,0.835,-0.0038667301701483,-0.1109967041902377,False,False
inference_shard_00,100,10,clustered_null,False,polynomial_ridge_interactions,0.32,-0.0114404965858612,-0.0352513149664118,False,False
inference_shard_00,100,10,genuine_increment,True,polynomial_ridge,0.005,0.0297066956019425,0.0192508264412672,True,True
inference_shard_00,100,10,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0334782266774625,0.0219297292126636,True,True
