shard,structure,repetition,independence_units,residual_r,residual_p,rejected_05
inference_shard_00,homoskedastic,126,200,0.0368116840964865,0.604,False
inference_shard_00,homoskedastic,127,200,-0.0546028855482246,0.475,False
inference_shard_00,homoskedastic,128,200,0.1808259062671372,0.01,True
inference_shard_00,homoskedastic,129,200,0.0649914966465135,0.361,False
inference_shard_00,homoskedastic,130,200,0.1373794344858621,0.066,False
inference_shard_00,homoskedastic,131,200,0.1079261981549539,0.14,False
inference_shard_00,homoskedastic,132,200,-0.1852217000006505,0.01,True
inference_shard_00,homoskedastic,133,200,-0.173629536071642,0.012,True
inference_shard_00,homoskedastic,134,200,-0.0214265356633915,0.764,False
inference_shard_00,homoskedastic,135,200,0.0938078803749711,0.197,False
inference_shard_00,homoskedastic,136,200,-0.0163834095852396,0.811,False
inference_shard_00,homoskedastic,137,200,0.0326341025659501,0.654,False
inference_shard_00,homoskedastic,138,200,-0.149997056175311,0.041,True
inference_shard_00,homoskedastic,139,200,0.0373764344108602,0.579,False
inference_shard_00,homoskedastic,140,200,0.012493817030608,0.863,False
inference_shard_00,homoskedastic,141,200,0.0525283329064511,0.447,False
inference_shard_00,homoskedastic,142,200,0.0552591522009909,0.456,False
inference_shard_00,homoskedastic,143,200,-0.1868986724668117,0.012,True
inference_shard_00,homoskedastic,144,200,0.0934673717345643,0.202,False
inference_shard_00,homoskedastic,145,200,0.2713523855668028,0.001,True
inference_shard_00,homoskedastic,146,200,0.0779652283676753,0.299,False
inference_shard_00,homoskedastic,147,200,0.1881947048676217,0.007,True
inference_shard_00,homoskedastic,148,200,-0.1139743493587339,0.122,False
inference_shard_00,homoskedastic,149,200,-0.2404268508313567,0.001,True
inference_shard_00,homoskedastic,150,200,0.071421312315805,0.326,False
inference_shard_00,homoskedastic,151,200,-0.04678468716144,0.524,False
inference_shard_00,homoskedastic,152,200,0.1623993708840476,0.027,True
inference_shard_00,homoskedastic,153,200,-0.0977297298919028,0.194,False
inference_shard_00,homoskedastic,154,200,-0.1197074926873172,0.098,False
inference_shard_00,homoskedastic,155,200,-0.0151938798469961,0.838,False
