baseline,metric,nuisance_model,status,target,controls,group_col,permutation_block_col,n,independence_units,n_splits,polynomial_degree,run_residual_r,residual_r,residual_p,residual_ci_low,residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification,refit_bootstrap_draws,refit_bootstrap_successful,refit_residual_ci_low,refit_residual_ci_high,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_predictive_classification,refit_increment_classification
B1_design,sharpness_random_perturbation,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.02622488511676049,-0.1915057915057915,0.265,,,0.0020181862621843193,0.0016470617341386722,0.00037112452804564716,,,0.18389012699153565,no-supported-increment,199,199,-0.619725127142738,0.7093282441035422,-0.0018036635510690472,0.0016698164491457117,no-supported-increment,no-supported-increment
B1_design,random_metric,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.06406024939572542,0.01312741312741313,0.932,,,0.001956618602448261,0.0020485634340020407,-9.194483155377988e-05,,,-0.046991698555217634,no-supported-increment,199,199,-0.5302297048599277,0.5259817175228528,-0.00037766000153437553,0.00030502720750723875,no-supported-increment,no-supported-increment
B1_design,random_metric,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.0946129470389135,-0.1431145431145431,0.385,,,0.0020181862621843193,0.0020782827932723604,-6.00965310880411e-05,,,-0.029777494879485278,no-supported-increment,199,199,-0.6672158025819344,0.5382106354695647,-0.0010311432945697176,0.0006656475377084429,no-supported-increment,no-supported-increment
B2_training_state,prediction_confidence,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,-0.24909732249832123,-0.38481338481338484,0.019,,,0.0012048572554973146,0.0011630411930577686,4.1816062439546013e-05,,,0.03470623781261631,residual-dependence-only,199,199,-0.7593725808645313,0.5324681511081011,-0.0005611133825343887,0.0003720143534690984,no-supported-increment,residual-dependence-only
B2_training_state,prediction_confidence,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,-0.3034971776378158,-0.7382239382239383,0.001,,,0.0012625901203310711,0.0010687332793955188,0.00019385684093555238,,,0.15353901302880466,residual-dependence-only,199,199,-0.8204078936778259,0.3292399260501487,-0.0009418331004217392,0.002059240240336769,no-supported-increment,residual-dependence-only
B2_training_state,prediction_entropy,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,0.271237934935237,0.2926640926640927,0.081,,,0.0012048572554973146,0.0009627665268330156,0.00024209072866429907,,,0.2009289710957288,no-supported-increment,199,199,-0.46392998303809435,0.7951348572947163,-0.0001760199784431037,0.0008881100279726647,no-supported-increment,no-supported-increment
B2_training_state,prediction_entropy,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,0.32916979390818574,0.5588159588159589,0.001,,,0.0012625901203310711,0.001108800911790111,0.0001537892085409602,,,0.1218045397825814,residual-dependence-only,199,199,-0.43274046492310997,0.7688720838550337,-0.001138440784571725,0.002001196113550764,no-supported-increment,residual-dependence-only
B2_training_state,prediction_margin,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,-0.2111157866145937,-0.24169884169884173,0.149,,,0.0012048572554973146,0.001167834781777748,3.7022473719566665e-05,,,0.03072768458723796,no-supported-increment,199,199,-0.6711691650461119,0.4315999485133221,-0.00038726527883009706,0.000365393250168152,no-supported-increment,no-supported-increment
B2_training_state,prediction_margin,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,-0.32391876695655936,-0.82985842985843,0.001,,,0.0012625901203310711,0.0010722103213217623,0.00019037979900930887,,,0.15078511699377806,residual-dependence-only,199,199,-0.8457646755921729,0.3594758900772684,-0.0014776948724926596,0.0015208015901386667,no-supported-increment,residual-dependence-only
B2_training_state,gradient_norm,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout,final_train_batch_loss",config_id,model_size,180,36,5,6,-0.26110490092542366,-0.45611325611325615,0.001,,,0.0012048572554973146,0.0010321899400666278,0.00017266731543068682,,,0.14330935440100495,residual-dependence-only,199,199,-0.7827484762502955,0.3716309051434838,-0.0007429819143703703,0.0010599335037694763,no-supported-increment,residual-dependence-only
