scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,predictive_support_count,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_count,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high
image,B1_design,interactions_d4,interaction_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,interactions_d4,interaction_proxy_null,0.8,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d4,nonlinear_proxy_null,0.3,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,interactions_d4,nonlinear_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d6,additive_proxy_null,0.3,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d6,additive_proxy_null,0.8,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d6,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d6,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d6,independent_null,0.3,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,4,0.04,0.01566330399154762,0.0983707143588792
image,B1_design,interactions_d6,independent_null,0.8,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d6,interaction_increment,0.3,0.2,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d6,interaction_increment,0.3,0.35,100,100,1.0,17,0.17,0.10893566114059931,0.25548004767601123,13,0.13,0.07757167427240512,0.20980351440076428
image,B1_design,interactions_d6,interaction_increment,0.3,0.5,100,100,1.0,16,0.16,0.10095288488804782,0.24420269389270244,14,0.14,0.08526343659939134,0.22137188210963837
image,B1_design,interactions_d6,interaction_increment,0.8,0.2,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,3,0.03,0.010254524024038925,0.0845193642905276
image,B1_design,interactions_d6,interaction_increment,0.8,0.35,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,10,0.1,0.0552291370606751,0.17436566150491345
image,B1_design,interactions_d6,interaction_increment,0.8,0.5,100,100,1.0,20,0.2,0.1333669333310325,0.2888291655931589,19,0.19,0.12514751509768735,0.27778845379064376
image,B1_design,interactions_d6,interaction_proxy_null,0.3,0.0,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,3,0.03,0.010254524024038925,0.0845193642905276
