protocol_id,design_scope,baseline,scenario,icc,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,partial_rank_slope,supported,positive_supported
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,3,4999,estimated,192,0.7162,0.0012010538611037839,0.018664356357273395,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,4,4999,estimated,192,0.89,0.00046041730923535853,0.008829566711844459,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,5,4999,estimated,192,0.3936,0.0030351790295223523,0.0470584574894788,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,6,4999,estimated,192,0.4772,-0.002884313908279966,-0.044381353200516165,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,7,4999,estimated,192,0.7792,0.0008710918871253671,0.015804548244355288,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,8,4999,estimated,192,0.1386,-0.004915281315113468,-0.08105013219162428,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,9,4999,estimated,192,0.6902,0.00157910469072094,0.025969053326218964,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,10,4999,estimated,192,0.003,0.009843455942269168,0.1735197827060642,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,11,4999,estimated,192,0.8948,-0.0004720783020784036,-0.00969924150316384,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,12,4999,estimated,192,0.4348,0.002848459732860305,0.043492648273689816,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,13,4999,estimated,192,0.7076,-0.0013871332180314042,-0.02441977987434299,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,14,4999,estimated,192,0.5346,0.0020842497166607514,0.03720149050804192,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,15,4999,estimated,192,0.51,-0.0022241260227089618,-0.03321477727265655,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,16,4999,estimated,192,0.7132,0.0012915647473483243,0.01889313179092487,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,17,4999,estimated,192,0.3442,0.0031871631700428767,0.054087873233216364,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,18,4999,estimated,192,0.8874,-0.0004789351506731994,-0.009207134917160355,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,19,4999,estimated,192,0.7228,-0.0011068747309485592,-0.020312247174080023,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,20,4999,estimated,192,0.537,0.0023476856307923263,0.03445729419627328,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,21,4999,estimated,192,0.3976,0.0025773249521839903,0.05422935767720088,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,22,4999,estimated,192,0.419,0.0029053615688666864,0.04733437365868567,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,23,4999,estimated,192,0.7708,0.0008324160589203196,0.01526568552770732,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,24,4999,estimated,192,0.8752,-0.0004980311063490791,-0.00960731314649166,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,25,4999,estimated,192,0.1732,0.004579080712283002,0.0933560870805152,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,26,4999,estimated,192,0.7046,0.0013905575402274023,0.02392018349237816,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,27,4999,estimated,192,0.8986,-0.0004157635971937062,-0.006923916946929641,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,28,4999,estimated,192,0.3606,0.0033154918920503696,0.051873575316621456,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,29,4999,estimated,192,0.1764,0.004635679141496087,0.08369917499142178,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,30,4999,estimated,192,0.4946,-0.0026447964643592733,-0.04336721258041427,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,31,4999,estimated,192,0.9702,-0.00011159855755253228,-0.002138529617489276,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,32,4999,estimated,192,0.0802,0.0057953831149423025,0.09269318154190115,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,33,4999,estimated,192,0.9138,0.000423033046768903,0.006464501542037462,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,34,4999,estimated,192,0.6768,0.0014323203314260402,0.026191135704806325,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,35,4999,estimated,192,0.1076,0.006441569634208059,0.10190233689030985,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,36,4999,estimated,192,0.688,0.0015723138664296558,0.02403769874441314,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,37,4999,estimated,192,0.5496,0.002095517459583233,0.03578497117371733,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,38,4999,estimated,192,0.5322,0.002198142747699731,0.03738962555601306,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,39,4999,estimated,192,0.3998,-0.0031783710936777753,-0.060988039822755725,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,40,4999,estimated,192,0.9224,0.0003177616410173061,0.005812972685693563,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,41,4999,estimated,192,0.2008,-0.004492063866502993,-0.07915554775140576,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,42,4999,estimated,192,0.4476,0.0023278417841024104,0.041834545108676936,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,43,4999,estimated,192,0.993,2.821487703809023e-05,0.0005600085932610373,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,44,4999,estimated,192,0.5112,-0.0020466044340940997,-0.0321566663557704,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,45,4999,estimated,192,0.603,-0.0017333016215880352,-0.0333705975114633,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,46,4999,estimated,192,0.4134,0.002667120155336712,0.04671111929466157,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,47,4999,estimated,192,0.7462,0.0011507055528459029,0.02082832872355116,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,48,4999,estimated,192,0.8918,0.0004895246563325174,0.007991155406376838,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,49,4999,estimated,192,0.838,0.0007527282451738991,0.014609973033340745,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,50,4999,estimated,192,0.0902,0.006032441349996885,0.09433625009969866,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,51,4999,estimated,192,0.2374,0.004224016561461896,0.07793025835084356,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,52,4999,estimated,192,0.2272,0.003584410794031804,0.07135260833673793,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,53,4999,estimated,192,0.2174,0.0038823369828171104,0.0677241371889267,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,54,4999,estimated,192,0.9014,0.00045063386266127204,0.007805375465540582,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,55,4999,estimated,192,0.664,-0.0015064612870810921,-0.02655599359918305,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,56,4999,estimated,192,0.3138,0.0033817504290246914,0.056216786082999945,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,57,4999,estimated,192,0.5794,0.0019090103161795182,0.03163881796102537,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,58,4999,estimated,192,0.656,0.0014828026344841322,0.025555723505555183,False,False
