reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,degree,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,25,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322769804,3045269804,polynomial_ridge,estimated,-0.00034538005414664545,0.77,-0.0010088565435326803,0.0004709108217908705,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,25,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322769804,3045269804,polynomial_ridge_interactions,estimated,-0.00015147214670063638,0.48,-0.012905860757324169,0.001390419474264244,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,26,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322869807,3046269807,polynomial_ridge,estimated,-0.00018006488494464942,0.96,-0.0012519560230698724,0.0007186993473193113,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,26,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322869807,3046269807,polynomial_ridge_interactions,estimated,-0.0003695450639369514,0.8,-0.022833703886746055,0.0011502691497655042,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,27,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322969810,3047269810,polynomial_ridge,estimated,-3.331473055616114e-05,0.58,-0.0010016794384643739,0.0005011319855256973,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,27,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322969810,3047269810,polynomial_ridge_interactions,estimated,-0.000517798673258579,0.88,-0.012190875630735494,0.0009968254326029999,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,28,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323069813,3048269813,polynomial_ridge,estimated,-5.883825644507207e-05,0.36,-0.0008617333287685814,0.000879139808670413,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,28,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323069813,3048269813,polynomial_ridge_interactions,estimated,-5.775901209869802e-05,0.08,-0.028198413184076527,0.00069336739208886,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,29,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323169816,3049269816,polynomial_ridge,estimated,-0.00010615532872489553,0.48,-0.0013171775970729194,0.0005552816359751263,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,29,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323169816,3049269816,polynomial_ridge_interactions,estimated,-0.00039573841967771367,0.02,-0.022987790653580125,0.001072206290705662,False,False
