reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,14,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321669771,3034269771,polynomial_ridge_interactions,estimated,-0.0002611430277977265,0.19,-0.01681541889780536,0.0008055065765264713,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,15,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321769774,3035269774,polynomial_ridge,estimated,9.162668075031553e-05,0.2,-0.002068086514158853,0.001495063689429563,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,15,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321769774,3035269774,polynomial_ridge_interactions,estimated,-0.0003468771054979526,0.38,-0.02285901581874777,0.0007152997209886542,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,16,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321869777,3036269777,polynomial_ridge,estimated,-0.0002474562739259833,0.19,-0.00211013254455505,0.0006210310298750188,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,16,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321869777,3036269777,polynomial_ridge_interactions,estimated,0.00024936633255394185,0.43,-0.02242145210621532,0.0017578166932302052,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,17,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321969780,3037269780,polynomial_ridge,estimated,-0.00031391544560266426,0.63,-0.0017625729506889874,0.0009261135475698053,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,17,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321969780,3037269780,polynomial_ridge_interactions,estimated,-0.0009523166674034328,0.82,-0.02276761075731714,0.0015443847439134543,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,18,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322069783,3038269783,polynomial_ridge,estimated,-0.0001469976895230123,0.37,-0.0021378771031695877,0.001067367038465334,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,18,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322069783,3038269783,polynomial_ridge_interactions,estimated,-0.0004158304136427384,0.07,-0.008979690949052752,0.0009698344032482715,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,19,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322169786,3039269786,polynomial_ridge,estimated,-0.00024839457216327496,0.03,-0.0014390259123345645,0.0011599781069450827,False,False
