scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,status,n_groups,stable_positive,positive_split_count,maximum_orthogonal_wild_p,minimum_orthogonal_score_mean
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,11,999,estimated,48,False,0,0.663,-0.024941288982087934
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,12,999,estimated,48,False,0,0.337,0.016049063131690352
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,13,999,estimated,48,False,0,0.22,-0.045822784737276044
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,14,999,estimated,48,False,0,0.822,-0.019113194368345316
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,15,999,estimated,48,False,0,0.747,-0.015228190277137642
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,16,999,estimated,48,False,0,0.584,-0.01706667793275989
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,17,999,estimated,48,False,0,0.728,-0.030979928789033207
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,18,999,estimated,48,False,0,0.714,-0.007381963279622733
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,19,999,estimated,48,False,0,0.685,0.0065554350374719865
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,0,999,estimated,48,False,0,0.454,-0.018724851912149676
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,1,999,estimated,48,False,1,0.373,0.008873720179890339
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,2,999,estimated,48,False,0,0.024,0.018106780988859872
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,3,999,estimated,48,False,0,0.728,-0.003590537398195271
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,4,999,estimated,48,True,3,0.003,0.04499598210899414
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,5,999,estimated,48,False,0,0.745,-0.003915419940107779
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,6,999,estimated,48,True,3,0.001,0.05059490875682358
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,7,999,estimated,48,False,0,0.449,0.007295942854696908
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,8,999,estimated,48,False,1,0.342,0.006627002749116048
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,9,999,estimated,48,False,1,0.125,0.024863613114207903
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,10,999,estimated,48,False,0,0.409,0.012203006251767004
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,11,999,estimated,48,False,0,0.93,-0.0189993958041281
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,12,999,estimated,48,False,2,0.017,0.0340926659501385
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,13,999,estimated,48,False,0,0.997,-0.00619425450117654
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,14,999,estimated,48,False,2,0.077,0.03149000043035669
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,15,999,estimated,48,False,0,0.902,0.0015738980325132722
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,16,999,estimated,48,False,0,0.602,-0.016896653972550666
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,17,999,estimated,48,False,1,0.747,0.0027466454873002074
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,18,999,estimated,48,False,0,1.0,-0.02005965131740931
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.35,19,999,estimated,48,False,1,0.062,0.029989808867788025
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,0,999,estimated,48,False,1,0.079,0.026661500211219404
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,1,999,estimated,48,True,3,0.002,0.04573509237996851
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,2,999,estimated,48,True,3,0.006,0.029617400053443762
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,3,999,estimated,48,False,0,0.758,-0.012086284153953797
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,4,999,estimated,48,True,3,0.002,0.051443638607419566
