protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,10,999,estimated,240,0.098,-0.007157969540323216,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,11,999,estimated,240,0.93,-0.0002919073298935713,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,12,999,estimated,240,0.859,0.0008637521026675152,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,13,999,estimated,240,0.515,-0.0026632380039675013,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,14,999,estimated,240,0.359,0.004470377595022444,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,15,999,estimated,240,0.404,-0.003051549554506642,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,16,999,estimated,240,0.647,-0.001436555836200896,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,17,999,estimated,240,0.669,0.0018010745473050784,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,18,999,estimated,240,0.284,-0.005483378166857418,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,19,999,estimated,240,0.559,0.002487629447228409,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,0,999,estimated,240,0.222,-0.00539336306362979,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,1,999,estimated,240,0.774,0.001322279530561247,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,2,999,estimated,240,0.853,-0.0007434754783915599,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,3,999,estimated,240,0.173,-0.005574825749771277,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,4,999,estimated,240,0.761,-0.0012132735034257264,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,5,999,estimated,240,0.121,-0.007938423500850288,False,False
