baseline,scenario,reliability,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
B1_design,interaction_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
B1_design,interaction_proxy_null,0.8,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
B1_design,nonlinear_proxy_null,0.3,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
B1_design,nonlinear_proxy_null,0.8,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,10,0.1,0.0552291370606751,0.17436566150491345
B2_training_loss,additive_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
B2_training_loss,additive_proxy_null,0.8,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
B2_training_loss,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,10,0.1,0.0552291370606751,0.17436566150491345
B2_training_loss,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
B2_training_loss,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,independent_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
B2_training_loss,interaction_increment,0.3,0.2,100,100,1.0,36,0.36,0.2727122040140433,0.4576459754839126,36,0.36,0.2727122040140433,0.4576459754839126
B2_training_loss,interaction_increment,0.3,0.35,100,100,1.0,73,0.73,0.6356788323205499,0.8073041585042365,73,0.73,0.6356788323205499,0.8073041585042365
B2_training_loss,interaction_increment,0.3,0.5,100,100,1.0,93,0.93,0.8625048526092651,0.9656807389327273,93,0.93,0.8625048526092651,0.9656807389327273
B2_training_loss,interaction_increment,0.8,0.2,100,100,1.0,66,0.66,0.5627772885472462,0.7453847920265184,66,0.66,0.5627772885472462,0.7453847920265184
B2_training_loss,interaction_increment,0.8,0.35,100,100,1.0,98,0.98,0.929988209271456,0.9944980324498376,98,0.98,0.929988209271456,0.9944980324498376
B2_training_loss,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
B2_training_loss,interaction_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
B2_training_loss,interaction_proxy_null,0.8,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,6,0.06,0.027786123963188192,0.1247681544589592
B2_training_loss,nonlinear_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
B2_training_loss,nonlinear_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
B3_training_state,additive_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
B3_training_state,additive_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,3,0.03,0.010254524024038925,0.0845193642905276
B3_training_state,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
B3_training_state,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,11,0.11,0.06254196357064568,0.18631296503080313
B3_training_state,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B3_training_state,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
B3_training_state,interaction_increment,0.3,0.2,100,100,1.0,46,0.46,0.36560808309024106,0.5573513967663177,46,0.46,0.36560808309024106,0.5573513967663177
B3_training_state,interaction_increment,0.3,0.35,100,100,1.0,81,0.81,0.7222115462093562,0.8748524849023126,81,0.81,0.7222115462093562,0.8748524849023126
B3_training_state,interaction_increment,0.3,0.5,100,100,1.0,92,0.92,0.8500189229905127,0.9589065385156194,92,0.92,0.8500189229905127,0.9589065385156194
B3_training_state,interaction_increment,0.8,0.2,100,100,1.0,76,0.76,0.6676766365018553,0.8330867444305122,76,0.76,0.6676766365018553,0.8330867444305122
B3_training_state,interaction_increment,0.8,0.35,100,100,1.0,94,0.94,0.8752318455410406,0.9722138760368118,94,0.94,0.8752318455410406,0.9722138760368118
