design_scope,panels,n_groups,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,1,48,B3_validation,interaction_increment,0.8,0.35,50,50,1.0,34,0.68,0.5418970269185592,0.7924178373934316,34,0.68,0.5418970269185592,0.7924178373934316
image,1,48,B3_validation,interaction_increment,0.8,0.5,50,50,1.0,42,0.84,0.7148578393696501,0.916625793219666,42,0.84,0.7148578393696501,0.916625793219666
image,1,48,B3_validation,interaction_proxy_null,0.3,0.0,50,50,1.0,11,0.22,0.1275391597021442,0.3524154958125367,11,0.22,0.1275391597021442,0.3524154958125367
image,1,48,B3_validation,interaction_proxy_null,0.8,0.0,50,50,1.0,5,0.1,0.04347576493189041,0.21360231437479654,5,0.1,0.04347576493189041,0.21360231437479654
image,1,48,B3_validation,nonlinear_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,1,48,B3_validation,nonlinear_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B1_design,additive_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B1_design,additive_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B1_design,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,6,0.12,0.05617600150932274,0.23804817383202992,6,0.12,0.05617600150932274,0.23804817383202992
image,2,96,B1_design,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,2,96,B1_design,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B1_design,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B1_design,interaction_increment,0.3,0.2,50,50,1.0,15,0.3,0.19103553500880954,0.437503504644534,15,0.3,0.19103553500880954,0.437503504644534
image,2,96,B1_design,interaction_increment,0.3,0.35,50,50,1.0,31,0.62,0.4815044693099298,0.7413721068980641,31,0.62,0.4815044693099298,0.7413721068980641
image,2,96,B1_design,interaction_increment,0.3,0.5,50,50,1.0,41,0.82,0.6920394632569922,0.9022980732976582,41,0.82,0.6920394632569922,0.9022980732976582
image,2,96,B1_design,interaction_increment,0.8,0.2,50,50,1.0,20,0.4,0.27608389730256544,0.5381856225241064,20,0.4,0.27608389730256544,0.5381856225241064
image,2,96,B1_design,interaction_increment,0.8,0.35,50,50,1.0,44,0.88,0.7619518261679701,0.9438239984906773,44,0.88,0.7619518261679701,0.9438239984906773
image,2,96,B1_design,interaction_increment,0.8,0.5,50,50,1.0,48,0.96,0.8653990931249297,0.9889611156723802,48,0.96,0.8653990931249297,0.9889611156723802
image,2,96,B1_design,interaction_proxy_null,0.3,0.0,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
image,2,96,B1_design,interaction_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,2,96,B1_design,nonlinear_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,2,96,B1_design,nonlinear_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B2_training_state,additive_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B2_training_state,additive_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,2,96,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,6,0.12,0.05617600150932274,0.23804817383202992,6,0.12,0.05617600150932274,0.23804817383202992
image,2,96,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
image,2,96,B2_training_state,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B2_training_state,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B2_training_state,interaction_increment,0.3,0.2,50,50,1.0,15,0.3,0.19103553500880954,0.437503504644534,15,0.3,0.19103553500880954,0.437503504644534
image,2,96,B2_training_state,interaction_increment,0.3,0.35,50,50,1.0,28,0.56,0.4230602802165686,0.6883780078874284,28,0.56,0.4230602802165686,0.6883780078874284
image,2,96,B2_training_state,interaction_increment,0.3,0.5,50,50,1.0,44,0.88,0.7619518261679701,0.9438239984906773,44,0.88,0.7619518261679701,0.9438239984906773
image,2,96,B2_training_state,interaction_increment,0.8,0.2,50,50,1.0,22,0.44,0.3116219921125717,0.5769397197834315,22,0.44,0.3116219921125717,0.5769397197834315
image,2,96,B2_training_state,interaction_increment,0.8,0.35,50,50,1.0,47,0.94,0.8378290831116182,0.979385029651026,47,0.94,0.8378290831116182,0.979385029651026
image,2,96,B2_training_state,interaction_increment,0.8,0.5,50,50,1.0,48,0.96,0.8653990931249297,0.9889611156723802,48,0.96,0.8653990931249297,0.9889611156723802
image,2,96,B2_training_state,interaction_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,2,96,B2_training_state,interaction_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B2_training_state,nonlinear_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,2,96,B2_training_state,nonlinear_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,2,96,B3_validation,additive_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B3_validation,additive_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,2,96,B3_validation,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,11,0.22,0.1275391597021442,0.3524154958125367,11,0.22,0.1275391597021442,0.3524154958125367
image,2,96,B3_validation,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,2,96,B3_validation,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B3_validation,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,2,96,B3_validation,interaction_increment,0.3,0.2,50,50,1.0,19,0.38,0.25862789310193596,0.5184955306900703,19,0.38,0.25862789310193596,0.5184955306900703
image,2,96,B3_validation,interaction_increment,0.3,0.35,50,50,1.0,36,0.72,0.5833487630404344,0.8252582933408878,36,0.72,0.5833487630404344,0.8252582933408878
image,2,96,B3_validation,interaction_increment,0.3,0.5,50,50,1.0,44,0.88,0.7619518261679701,0.9438239984906773,44,0.88,0.7619518261679701,0.9438239984906773
image,2,96,B3_validation,interaction_increment,0.8,0.2,50,50,1.0,25,0.5,0.3664451431682858,0.6335548568317142,25,0.5,0.3664451431682858,0.6335548568317142
image,2,96,B3_validation,interaction_increment,0.8,0.35,50,50,1.0,47,0.94,0.8378290831116182,0.979385029651026,47,0.94,0.8378290831116182,0.979385029651026
image,2,96,B3_validation,interaction_increment,0.8,0.5,50,50,1.0,49,0.98,0.8950455641036219,0.9964607407283539,49,0.98,0.8950455641036219,0.9964607407283539
image,2,96,B3_validation,interaction_proxy_null,0.3,0.0,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
image,2,96,B3_validation,interaction_proxy_null,0.8,0.0,50,50,1.0,6,0.12,0.05617600150932274,0.23804817383202992,6,0.12,0.05617600150932274,0.23804817383202992
image,2,96,B3_validation,nonlinear_proxy_null,0.3,0.0,50,50,1.0,3,0.06,0.02061497034897397,0.16217091688838173,2,0.04,0.011038884327619805,0.1346009068750702
image,2,96,B3_validation,nonlinear_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B1_design,additive_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B1_design,additive_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B1_design,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
image,4,192,B1_design,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B1_design,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B1_design,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B1_design,interaction_increment,0.3,0.2,50,50,1.0,18,0.36,0.24138749651846741,0.49858983123887307,18,0.36,0.24138749651846741,0.49858983123887307
image,4,192,B1_design,interaction_increment,0.3,0.35,50,50,1.0,41,0.82,0.6920394632569922,0.9022980732976582,41,0.82,0.6920394632569922,0.9022980732976582
image,4,192,B1_design,interaction_increment,0.3,0.5,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B1_design,interaction_increment,0.8,0.2,50,50,1.0,31,0.62,0.4815044693099298,0.7413721068980641,31,0.62,0.4815044693099298,0.7413721068980641
image,4,192,B1_design,interaction_increment,0.8,0.35,50,50,1.0,49,0.98,0.8950455641036219,0.9964607407283539,49,0.98,0.8950455641036219,0.9964607407283539
image,4,192,B1_design,interaction_increment,0.8,0.5,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B1_design,interaction_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,4,192,B1_design,interaction_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B1_design,nonlinear_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B1_design,nonlinear_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B2_training_state,additive_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B2_training_state,additive_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
