protocol_id,design_scope,panels,n_groups,baseline,scenario,icc,beta,repetition,wild_draws,status,orthogonal_wild_p,orthogonal_score_mean,partial_rank_slope,supported,positive_supported
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,33,999,estimated,0.505,0.0054169783385443,0.1320259666234687,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,34,999,estimated,0.482,0.007971481209988,0.1467596029924685,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,35,999,estimated,0.341,0.0093933312452936,0.1930318074018073,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,36,999,estimated,0.003,0.0233930833638156,0.3977512419428495,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,37,999,estimated,0.251,0.0070490177383584,0.1927891372486719,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,38,999,estimated,0.025,0.0142266288016591,0.2976500712376262,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,39,999,estimated,0.108,0.0139160136040006,0.235902829372363,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,40,999,estimated,0.078,0.0106223511384188,0.189540142752064,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,41,999,estimated,0.035,0.018078530045821,0.258113212021635,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,42,999,estimated,0.06,0.0123581904825365,0.228413265235231,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,43,999,estimated,0.012,0.0208046023807021,0.3290480207256641,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,44,999,estimated,0.096,0.011576521470845,0.1996394945295312,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,45,999,estimated,0.002,0.0322444066819121,0.5149907056557987,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,46,999,estimated,0.239,0.0087364570496655,0.1477799904043495,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,47,999,estimated,0.484,0.0061291969395896,0.0829460497036252,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,48,999,estimated,0.074,0.0136628604919444,0.1997834867434842,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,49,999,estimated,0.216,0.0080075916475278,0.136227111337534,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,0,999,estimated,0.665,0.0049729283007829,0.0749217247654087,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,1,999,estimated,0.993,6.221782917525895e-05,0.0008487962890509,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,2,999,estimated,0.802,-0.002230544057865,-0.0323881407766417,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,3,999,estimated,0.869,0.0017014316358772,0.0203946816512868,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,4,999,estimated,0.78,0.0022141760455014,0.0321756252630647,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,5,999,estimated,0.551,0.0043300448583537,0.0558796519423503,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.8,0.0,6,999,estimated,0.031,0.0188429229185704,0.2669972555312857,False,False
